"authorName","paperTitle","assignedDept","teacherDept","teacherId"
"Gladys Rai","Culprit effect of oxidative stress in the development of Parkinson's disease: A conundrum of senescence","Department of Chemistry and Biochemistry","NA","3139"
"Pooja Singh","Economic growth and environmental degradation in developing world: Evidence from Nigeria (1981–2019)","Department of Management","Humanities & Social Sciences","12783"
"Jaskaran Singh","Drugs and their effects on development rate of decomposers: An entomotoxicological approach","Department of Medical Sciences","NA","7010"
"Naima Afreen","COVID 19 in pregnancy; obstetrical and neonatal outcomes: A retrospective comparative study","Department of Medical Sciences","NA","3332"
"Nimmi Chutani","COVID 19 in pregnancy; obstetrical and neonatal outcomes: A retrospective comparative study","Department of Medical Sciences","NA","11"
"Richa Sharma","Analysis of creep stresses in thin rotating disc composed of piezoelectric material; Analiza napona puzanja u tankom rotirajuĆem disku od pijezoelektriČnog materijala","Department of Mathematics","Biotechnology","4763"
"Megha Chopra","Surface treatment and implant bone interface: a systematic literature review","Department of Dental Science","NA","5600"
"G. Ratna Velugu","Comparative evaluation of the effect of 10%, 20%, and 30% guava seed extract on reversing compromised resin bond strength after enamel bleaching in 120 min, 10 min, and 5 min: An in vitro study","Department of Dental Science","NA","1694"
"Richa Sharma","Analytical solution of elastic-plastic stresses in thin rotating disc made up of piezoelectric material; Analitičko rešenje elastoplastičnih napona u tankom rotirajućem disku od pijezoelektričnog materijala","Department of Mathematics","Biotechnology","4763"
"Komal Sharma","Comparative Evaluation of Subgingivally Delivered 2% Curcumin and 0.2% Chlorhexidine Gel Adjunctive to Scaling and Root Planing in Chronic Periodontitis","Department of Nursing Sciences","Allied Health Science","7706"
"Swati Sharma","Assessing knowledge, attitudes and practices of dental practitioners regarding the covid-19 pandemic: A multinational study; Ocena wiedzy, zachowań i działań praktycznych u lekarzy dentystów w związku z pandemią covid-19 – wielonarodowe badanie ankietowe","Department of Medical Sciences","Dental Science","297"
"Sahil Thakar","Assessing knowledge, attitudes and practices of dental practitioners regarding the covid-19 pandemic: A multinational study; Ocena wiedzy, zachowań i działań praktycznych u lekarzy dentystów w związku z pandemią covid-19 – wielonarodowe badanie ankietowe","Department of Dental Science","NA","4980"
"Kuldeep Dhanker","Assessing knowledge, attitudes and practices of dental practitioners regarding the covid-19 pandemic: A multinational study; Ocena wiedzy, zachowań i działań praktycznych u lekarzy dentystów w związku z pandemią covid-19 – wielonarodowe badanie ankietowe","Department of Dental Science","NA","1692"
"Vikas Kumar","Mobile marketing campaigns: Practices, challenges and opportunities","Department of Computer Science & Engineering","Management","2661"
"Satinder Aneja","Neonatal seizures: Case definition & guidelines for data collection, analysis, and presentation of immunization safety data","Department of Medical Sciences","NA","4002"
"Ankur Sharma","A “NOTCH” deeper into the epithelial-to-mesenchymal transition (EMT) program in breast cancer","Department of Medical Sciences","Life Sciences","5123"
"Ashok Kumar Dubey","Anti-depressant and anti-anxiety like effects of cydonia oblonga in mice exposed to mild stress","Department of Medical Sciences","NA","228"
"Prashant Sharma","Anti-depressant and anti-anxiety like effects of cydonia oblonga in mice exposed to mild stress","Department of Humanities & Social Sciences","Medical Sciences","230"
"Richa Sharma","Fluorescent aptaswitch for chloramphenicol detection – Quantification enabled by immobilization of aptamer","Department of Mathematics","Biotechnology","4763"
"Satinder Aneja","Integrated Management of Newborn and Childhood Illness (IMNCI) Strategy and its Implementation in Real Life Situation","Department of Medical Sciences","NA","4002"
"Satinder Aneja","Unusual Presentation of PMM2-Congenital Disorder of Glycosylation With Isolated Strokelike Episodes in a Young Girl","Department of Art and Science","NA","4002"
"Satinder Aneja","Diagnosis and Management of Acute Encephalitis in Children","Department of Medical Sciences","NA","4002"
"Amit Kumar","Cu (II) ions removal from water by charcoal obtained from marigold flower waste","Department of Computer Science & Engineering","Humanities & Social Sciences","8524"
"Richa Sharma","Elastic-plastic stresses in a thin rotating disk of functionally graded material with exponentially varying thickness under internal pressure","Department of Mathematics","Biotechnology","4763"
"Mahak Lamba","Coeliac artery thrombosis: An unusual cause of acute abdomen","Department of Medical Sciences","NA","5003"
"Pooja Singh","Synthesis, characterization and antimicrobial investigation of mixed ligand complexes of Cobalt(II) and Nickel(II) with p-dimethylaminobenzaldehyde thiosemicarbazone","Department of Management","Humanities & Social Sciences","12783"
"Satinder Aneja","Adverse drug reactions of anti-epileptic drugs in children with epilepsy: A cross-sectional study","Department of Medical Sciences","NA","4002"
"Vikas Kumar","Social media analytics: A tool for the success of online retail industry","Department of Computer Science & Engineering","Management","2661"
"Vikas Kumar","Social media to social media analytics: Ethical challenges","Department of Computer Science & Engineering","Management","2661"
"Vikas Kumar","Social media in higher education: A framework for continuous engagement","Department of Computer Science & Engineering","Management","2661"
"Mohit Kumar","Electrical conductivity sensing for precision agriculture: A review","Department of Life Sciences","Computer Science & Engineering","10953"
"Richa Sharma","Nanoparticle-Based Aptasensors for Food Contaminant Detection","Department of Mathematics","Biotechnology","4763"
"Vikas Kumar","Reliability aspect of cloud computing environment","Department of Computer Science & Engineering","Management","2661"
"Piaray Lal Kariholu","Can post-operative antibiotic prophylaxis following elective laparoscopic cholecystectomy be completely done away with in the Indian setting? A prospective randomised study","Department of Medical Sciences","NA","21"
"Vikas Kumar","Trust management issues in social-media marketing","Department of Computer Science & Engineering","Management","2661"
"Satinder Aneja","Zika Virus Infection and Microcephaly in Infants: Is the Association Casual or Causal?: Public Health Viewpoint","Department of Medical Sciences","NA","4002"
"Satinder Aneja","Zika Virus Infection and Microcephaly in Infants: Is the Association Casual or Causal?","Department of Medical Sciences","NA","4002"
"Vikas Kumar","Cost benefit analysis of cloud computing in education","Department of Computer Science & Engineering","Management","2661"
"Richa Sharma","Creep torsion in thick-walled circular cylinder under internal and external pressure","Department of Mathematics","Biotechnology","4763"
"Richa Sharma","Thermal creep analysis of pressurized thick-walled cylindrical vessels","Department of Mathematics","Biotechnology","4763"
"Vikas Kumar","Comprehensive three-layer trust management model for public cloud environment","Department of Computer Science & Engineering","Management","2661"
"Swati Sharma","Oral cancer statistics in India on the basis of first report of 29 population-based cancer registries","Department of Medical Sciences","Dental Science","297"
"Vikas Kumar","Cost benefit analysis of cloud computing in education","Department of Computer Science & Engineering","Management","2661"
"Swati Sharma","Knowledge, attitudes, and practices among health-care providers regarding Zika virus infection","Department of Medical Sciences","Dental Science","297"
"Ashok Kumar Dubey","Anticonvulsant and Antioxidant Effects of Musa sapientum Stem Extract on Acute and Chronic Experimental Models of Epilepsy","Department of Medical Sciences","NA","228"
"Prashant Sharma","Anticonvulsant and Antioxidant Effects of Musa sapientum Stem Extract on Acute and Chronic Experimental Models of Epilepsy","Department of Humanities & Social Sciences","Medical Sciences","230"
"Vikas Kumar","Reputation management through online feedbacks in e-business environment","Department of Computer Science & Engineering","Management","2661"
"Richa Sharma","Creep deformation of a non-homogeneous thin rotating disk of exponentially varying thickness with internal pressure","Department of Mathematics","Biotechnology","4763"
"Richa Sharma","Finite deformations in pressurized thick-walled circular cylinder with steady state temperature","Department of Mathematics","Biotechnology","4763"
"Richa Sharma","Finite deformations of functionally graded shell under outer pressure with steady state temperature","Department of Mathematics","Biotechnology","4763"
"Vikas Kumar","CORE framework for evaluating the reliability of SaaS products","Department of Computer Science & Engineering","Management","2661"
"Vikas Kumar","A framework for collaborative and convenient learning on cloud computing platforms","Department of Computer Science & Engineering","Management","2661"
"Vikas Kumar","Cloud computing as a catalyst in STEM education","Department of Computer Science & Engineering","Management","2661"
"Swati Sharma","Effects of green tea on periodontal health: A prospective clinical study","Department of Medical Sciences","Dental Science","297"
"Vikas Kumar","Trust management models for digital identities","Department of Computer Science & Engineering","Management","2661"
"Richa Sharma","Thermo-elastic-plastic transition in torsion of composite thick-walled circular cylinder subjected to pressure","Department of Mathematics","Biotechnology","4763"
"Ajay Kumar","Factors affecting malware attacks: An empirical analysis","Department of Management","Chemistry and Biochemistry","6354"
"Ashok Kumar Dubey","Use of complementary and alternative medicines in indian elderly patients","Department of Medical Sciences","NA","228"
"Kuldeep Dhanker","Assessment of coronal leakage of temporary restorations in root canal-treated teeth: An in vitro study","Department of Dental Science","NA","1692"
"Manish Kumar","An intelligent system to diagnosis the skin disease","Department of Humanities & Social Sciences","Medical Sciences","131"
"Ajoy Deshmukh","Transaminitis in dengue fever: An observational study","Department of Medical Sciences","NA","100"
"Ashok Kumar Dubey","Effect of Musa sapientum stem extract on animal models of depression","Department of Medical Sciences","NA","228"
"Vikas Kumar","Determinants of cloud computing adoption by SMEs","Department of Computer Science & Engineering","Management","2661"
"Khushboo Juneja","Effect of utilization of antenatal services on pregnancy outcome in Aligarh - A community based study","Department of Medical Sciences","NA","3141"
"Vikas Kumar","Reputation management through online feedbacks in e-business environment","Department of Computer Science & Engineering","Management","2661"
"Suparna Dubey","Primary endobronchial myxoid leiomyoma in a child: An unusual case report and review of literature","Department of Medical Sciences","NA","218"
"Vikas Kumar","Creating Collaborative and Convenient Learning Environment Using Cloud-Based Moodle LMS: An Instructor and Administrator Perspective","Department of Computer Science & Engineering","Management","2661"
"Ashok Kumar Dubey","Suvorexant: The first orexin receptor antagonist to treat insomnia","Department of Medical Sciences","NA","228"
"Arun Kumar","Smart building automation using device free localization technology","Department of Management","Pharmacy","3944"
"Shalini Srivastava","Satisfaction levels among patients availing DOTS services in Bundelkhand Region (UP), India: Evidence from patient exit-interviews","Department of Environmental Science","Medical Sciences","250"
"Ashok Kumar Dubey","Are we pharmacovigilant enough in ophthalmic practice?","Department of Medical Sciences","NA","228"
"Ajoy Deshmukh","Study of staging and prognostic significance of bone marrow involvement in malignant lymphomas in Northern India: Clinicopathological study","Department of Medical Sciences","NA","100"
"Piaray Lal Kariholu","Malignant urothelial carcinoma of urinary bladder in a young child: A rare case report","Department of Medical Sciences","NA","21"
"Ajoy Deshmukh","Aortic dissection -a case report","Department of Medical Sciences","NA","100"
"Piaray Lal Kariholu","Re: Malignant urothelial carcinoma of urinary bladder in a young child: A rare case report","Department of Medical Sciences","NA","21"
"Ashok Kumar Dubey","Vismodegib: The first drug approved for advanced and metastatic basal cell carcinoma","Department of Medical Sciences","NA","228"
"Suparna Dubey","Vismodegib: The first drug approved for advanced and metastatic basal cell carcinoma","Department of Medical Sciences","NA","218"
"Ashok Kumar Dubey","Efficacy of duloxetine compared with imipramine in the treatment of major depressive disorder in Indian patients","Department of Medical Sciences","NA","228"
"Sandeep Kumar","The problem of child sexual abuse in India laws, legal lacuna and the bill - PCSOB-2011","Department of Management","Computer Science & Engineering","8567"
"Ashok Kumar Dubey","Prophylactic ocular hypotensives before Nd:YAG laser posterior capsulotomy","Department of Medical Sciences","NA","228"
"Ashok Kumar Dubey","Belimumab: First targeted biological treatment for systemic lupus erythematosus","Department of Medical Sciences","NA","228"
"Prashant Sharma","Belimumab: First targeted biological treatment for systemic lupus erythematosus","Department of Humanities & Social Sciences","Medical Sciences","230"
"Arun Kumar","Serum caeruloplasmin as a coronary risk factor in patients with acute myocardial infarction with normal lipid profile","Department of Management","Pharmacy","3944"
